id,age,comment,commodities_string,original_id,latitude,longitude,name,offset_azimuth,offset_distance,rotation,centre_longitude,centre_latitude,local_projection,stratification_label,commodity_string,geometry,commodity_locations
57941438,Late Ordovician,Late Ordovician-Silurian,Au;Cu,333286.0,-36.11538783,147.09125319999998,Bethanga,303.34410897120483,2.8425144817234385,54.786229796129035,147.06322917270154,-36.10360962430914,"+proj=omerc +lat_0=-36.10360962430914 +lonc=147.06322917270154 +alpha=-54.786229796129035 +k=1 +x_0=0 +y_0=0 +gamma=0 +ellps=WGS84 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs",Cu,Au;Cu,"POLYGON ((147.2569326079208 -36.07650805228802, 147.0967853507769 -36.26014272227904, 146.8695549415831 -36.13049202131356, 147.0299683905274 -35.9471598004983, 147.2569326079208 -36.07650805228802))","[('Au;Cu', 147.09125319999998, -36.11538783)]"
21418444,Late Palaeozoic,nan,Ag;Zn;Pb,333287.0,-18.71084053,125.9680199,Cadjebut,172.255972205693,0.2582709395476557,33.87854707594197,125.96819453615235,-18.713172195007903,"+proj=omerc +lat_0=-18.713172195007903 +lonc=125.96819453615235 +alpha=-33.87854707594197 +k=1 +x_0=0 +y_0=0 +gamma=0 +ellps=WGS84 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs",Pb,Ag;Pb;Zn,"POLYGON ((126.1327632213176 -18.74376258536201, 125.9358456940833 -18.86902038132908, 125.803729311015 -18.68250014976084, 126.000527665732 -18.55738035126559, 126.1327632213176 -18.74376258536201))","[('Ag;Zn;Pb', 125.9680199, -18.71084053), ('Ag;Zn;Pb', 126.00732579999999, -18.72913429), ('Ag;Zn;Pb', 125.95913, -18.7342)]"
28504073,Tertiary,nan,U,333288.0,-31.74095042,140.6623645,Honeymoon,198.92448282886903,5.095457218231402,39.47030168399538,140.64750449127584,-31.785548449603528,"+proj=omerc +lat_0=-31.785548449603528 +lonc=140.64750449127584 +alpha=-39.47030168399538 +k=1 +x_0=0 +y_0=0 +gamma=0 +ellps=WGS84 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs",Cu,Au;Cu;Mo;U,"POLYGON ((140.833537378414 -31.80076839682607, 140.6295224326607 -31.94366309516039, 140.4616351386833 -31.77016356411721, 140.6655269840567 -31.62753654486929, 140.833537378414 -31.80076839682607))","[('U', 140.6623645, -31.74095042), ('U', 140.67557130000003, -31.74092828), ('Au;Cu;Mo', 140.525, -31.729)]"
09892066,Precambrian,nan,Fe,333289.0,-22.63545578,118.1385991,Marandoo,300.8766983287271,0.6699533022770936,46.06468810685768,118.13342313179196,-22.631687090092235,"+proj=omerc +lat_0=-22.631687090092235 +lonc=118.13342313179196 +alpha=-46.06468810685768 +k=1 +x_0=0 +y_0=0 +gamma=0 +ellps=WGS84 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs",Fe,Fe,"POLYGON ((118.3054760532291 -22.628676462391, 118.1366596232518 -22.79049371804615, 117.9614344063535 -22.63457794305732, 118.1302656107407 -22.47294405858247, 118.3054760532291 -22.628676462391))","[('Fe', 118.1385991, -22.63545578)]"
46206860,Neoproterozoic,coincides with NNW trending transcontinental gravity lineament extending to the Olympic Dam deposit,Ag;Cu;Co,333290.0,-31.44709128,137.1499808,Mount Gunson,16.67019534929084,4.225797128279231,37.180880546520626,137.1617691341779,-31.409967128089512,"+proj=omerc +lat_0=-31.409967128089512 +lonc=137.1617691341779 +alpha=-37.180880546520626 +k=1 +x_0=0 +y_0=0 +gamma=0 +ellps=WGS84 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs",Cu,Ag;Co;Cu,"POLYGON ((137.3461978879217 -31.4314931563479, 137.1364603447962 -31.56734399019653, 136.9775204266175 -31.38828437508229, 137.1870881917196 -31.25269235957789, 137.3461978879217 -31.4314931563479))","[('Ag;Cu;Co', 137.1499808, -31.44709128)]"
86641420,Early Devonian,nan,Au;Cu,333291.0,-31.5403,145.864,New Occidental,37.864422298680196,0.659592407960945,2.272302227287013,145.86776223691706,-31.5352332386645,"+proj=omerc +lat_0=-31.5352332386645 +lonc=145.86776223691706 +alpha=-2.272302227287013 +k=1 +x_0=0 +y_0=0 +gamma=0 +ellps=WGS84 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs",Cu,Ag;Au;Cu;Pb;Zn,"POLYGON ((146.0047903183047 -31.6429774288562, 145.7411875993532 -31.65189247470769, 145.7310563312774 -31.42747824195035, 145.9940272627773 -31.41858459677236, 146.0047903183047 -31.6429774288562))","[('Au;Cu', 145.864, -31.5403), ('Ag;Zn;Cu;Pb;Au', 145.8778, -31.5653), ('Ag;Au;Cu', 145.84050219999997, -31.49799152), ('Au;Cu', 145.8551, -31.5161), ('Au;Cu', 145.862849, -31.531214000000002), ('Ag;Zn;Cu;Pb;Au', 145.8577972, -31.52121939), ('Au;Cu', 145.8824, -31.5715), ('Au;Cu', 145.86293999999998, -31.532387), ('Ag;Au;Cu', 145.869127, -31.553942)]"
34837095,Cainozoic,age of alluvial deposits; vein mineralisation is Palaeozoic,Au,333292.0,-15.87711519,143.4665044,Palmer River,344.94562185121,2.7681834172551807,42.7380272685985,143.45798749357627,-15.853665054747086,"+proj=omerc +lat_0=-15.853665054747086 +lonc=143.45798749357627 +alpha=-42.7380272685985 +k=1 +x_0=0 +y_0=0 +gamma=0 +ellps=WGS84 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs",Au,Au,"POLYGON ((143.6229675378979 -15.85989330117494, 143.4514888879752 -16.01236641026749, 143.2930617879394 -15.84735791209611, 143.4645199407227 -15.69500940581895, 143.6229675378979 -15.85989330117494))","[('Au', 143.4665044, -15.87711519)]"
12267216,Carboniferous,nan,U,333293.0,-23.87711034,133.9200055,Pamela,200.13005328524795,6.3771622332767555,56.81693639466669,133.89817559240655,-23.93174233606795,"+proj=omerc +lat_0=-23.93174233606795 +lonc=133.89817559240655 +alpha=-56.81693639466669 +k=1 +x_0=0 +y_0=0 +gamma=0 +ellps=WGS84 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs",other,U,"POLYGON ((134.0682340632661 -23.89915516455318, 133.9338425289685 -24.08720167367046, 133.7281208773024 -23.96419581976618, 133.862683759372 -23.77632826151978, 134.0682340632661 -23.89915516455318))","[('U', 133.9200055, -23.87711034), ('U', 133.9200059, -23.91711038)]"
17869709,Archaean,nan,Au,333294.0,-31.0452,122.2123,Randalls,180.52171668031818,4.859814081370601,12.169319514288473,122.20701587455356,-31.089237005819943,"+proj=omerc +lat_0=-31.089237005819943 +lonc=122.20701587455356 +alpha=-12.169319514288473 +k=1 +x_0=0 +y_0=0 +gamma=0 +ellps=WGS84 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs",Au,Au,"POLYGON ((122.3629926097846 -31.17530400718238, 122.1063540712052 -31.22270060623511, 122.0513541721918 -31.00311233385328, 122.3074279737559 -30.95582511242689, 122.3629926097846 -31.17530400718238))","[('Au', 122.2123, -31.0452), ('Au', 122.1761, -31.0895), ('Au', 122.2028, -31.0456), ('Au', 122.1989, -31.0809), ('Au', 122.1882, -31.0668), ('Au', 122.1663, -31.0761), ('Au', 122.2034, -31.039009000000004)]"
89175582,Tertiary,nan,Fe,333295.0,-21.71437279,116.50004140000001,Robe River,170.22530123548034,0.27266406417093947,52.28679493797982,116.50012466070345,-21.71685376199333,"+proj=omerc +lat_0=-21.71685376199333 +lonc=116.50012466070345 +alpha=-52.28679493797982 +k=1 +x_0=0 +y_0=0 +gamma=0 +ellps=WGS84 +towgs84=0,0,0,0,0,0,0 +units=m +no_defs",Fe,Fe,"POLYGON ((116.6696922294473 -21.69665251893773, 116.5218665326516 -21.87439885863166, 116.3305842489499 -21.73693613988041, 116.4785049070466 -21.5593594623911, 116.6696922294473 -21.69665251893773))","[('Fe', 116.50004140000001, -21.71437279)]"
